id,label
488,0.000000
1219,0.999999
5813,0.999991
6490,0.000000
5951,1.000000
10568,0.999999
6383,0.000000
12339,0.000000
7248,1.000000
6207,0.023641
7631,1.000000
7881,1.000000
5615,0.000000
5382,0.118521
5199,0.000000
6047,0.999933
10213,1.000000
6086,1.000000
5217,1.000000
5892,1.000000
1813,1.000000
12039,0.999998
2407,0.000000
1727,1.000000
170,0.000000
441,0.000000
5492,0.000006
40,0.000000
12220,0.000000
10560,0.000000
4685,1.000000
2159,0.015214
3264,0.795917
9309,0.000000
7420,1.000000
6890,0.000000
6095,0.000000
4924,0.186007
12290,1.000000
36,0.000000
5186,0.000000
5563,0.000000
7051,1.000000
10921,0.000000
8635,1.000000
11967,0.999985
2567,0.000000
11144,0.000000
4692,0.000000
808,0.986788
9790,0.000000
1560,0.000000
6158,0.000000
11372,0.000000
8,0.000000
9455,0.000000
3209,1.000000
1987,0.992612
10053,1.000000
6290,0.989498
4320,0.000000
10899,1.000000
5859,0.000000
8863,0.835977
3843,0.000000
6101,0.000000
1103,0.000000
1049,0.000000
1343,0.936593
1226,0.000000
4361,0.000000
4031,1.000000
6609,0.000000
9654,0.999995
8387,0.000000
8310,1.000000
10778,0.000000
5409,1.000000
10172,0.999362
2431,0.508579
2182,0.999971
8524,0.000000
7110,0.999992
8029,0.000000
1627,0.000000
10439,0.000000
6433,1.000000
10581,0.991996
3715,1.000000
11636,0.000000
5047,0.000000
3816,1.000000
5131,0.000000
2872,0.000000
2636,0.000001
9055,0.966781
6851,0.000000
10050,0.000000
1814,1.000000
127,0.999936
422,1.000000
8768,0.726229
7857,0.000000
7116,1.000000
6729,0.999981
830,0.000000
1021,0.000000
3697,1.000000
7648,1.000000
3488,1.000000
8002,0.000000
10558,1.000000
8663,1.000000
10697,1.000000
5902,0.000000
9413,1.000000
1842,0.999999
4560,0.000000
10832,0.999986
3472,0.000000
12484,0.998623
5082,0.000000
826,1.000000
6768,0.000000
11614,0.000000
3459,1.000000
5577,0.999973
8976,1.000000
1886,0.001303
5327,1.000000
7280,0.048226
8367,0.000000
3127,0.000000
12493,0.999977
9625,0.999997
7862,0.000000
8323,1.000000
8975,0.999999
4109,0.000000
4488,0.000000
4143,1.000000
6552,0.000000
4239,0.000000
5864,0.000021
8584,0.000000
1035,0.000000
10242,1.000000
5504,1.000000
6237,1.000000
4900,0.000000
6693,0.000000
2401,0.000000
2262,0.000000
1141,0.000000
11147,1.000000
6922,0.000000
5260,0.000000
7275,0.000006
6460,0.994720
8116,0.000000
11746,0.000000
11392,0.000000
6926,1.000000
7376,0.000000
3587,0.757732
7131,1.000000
6967,0.999692
8312,0.000000
6718,1.000000
3256,0.000000
5475,0.990976
9457,0.000000
5569,0.000000
6745,0.999746
4169,0.000000
6073,1.000000
7427,1.000000
7641,0.999981
7413,1.000000
11357,0.998906
7810,0.000000
891,1.000000
8539,1.000000
5163,0.999973
8444,0.999615
5421,0.994319
1364,0.000000
4148,0.000000
8746,1.000000
10274,0.000000
7267,0.999999
10498,0.000000
9776,0.999970
9875,0.000000
983,1.000000
3609,0.000000
4798,0.000000
3677,0.163371
366,1.000000
9429,0.000000
7833,0.000000
9908,0.000000
6195,0.000000
4041,0.999793
7320,0.000000
3685,0.000000
5599,0.000000
6659,1.000000
6384,0.999833
3673,0.000000
7768,0.000000
378,0.000000
8053,0.000000
3067,0.000000
8964,1.000000
6303,0.000000
4905,0.000000
5536,0.999929
5808,1.000000
5605,0.000000
1672,0.999905
650,1.000000
4248,0.994313
11086,0.000000
7841,0.000000
9735,0.000000
9274,1.000000
7108,0.000000
12345,0.000000
4783,0.565651
1553,1.000000
7750,0.000000
10713,0.000000
5274,1.000000
2202,1.000000
8247,0.000000
9644,0.000000
2846,0.000694
10566,1.000000
5095,0.000000
8487,0.000000
2443,0.000000
8034,0.000000
8636,1.000000
4469,1.000000
3104,0.000000
6211,0.000000
8520,0.000000
10602,0.073680
3356,0.997804
824,0.000000
2077,0.999995
2520,0.999863
5003,1.000000
348,0.997803
5147,1.000000
11989,0.000000
3444,0.000000
1933,0.929068
12386,0.999999
10346,0.000000
9494,0.000000
8623,0.000000
2552,1.000000
6244,0.942432
1165,0.664205
5495,0.978978
11990,1.000000
11450,0.000000
4450,0.000000
5499,0.000000
9356,1.000000
11481,0.000000
565,1.000000
3190,0.000000
7021,0.000000
4719,0.000000
10434,0.999974
2611,0.000000
1665,0.000000
11136,0.000000
7777,0.000000
5626,0.000000
8677,0.999981
700,1.000000
8380,1.000000
8580,0.000000
11666,0.000000
1066,1.000000
2765,0.000000
9958,0.000000
4875,0.159144
11300,1.000000
8731,0.021721
6483,0.000000
11755,0.000000
7107,0.999998
6446,1.000000
558,0.999933
10122,0.000000
8245,0.000000
11977,0.999781
7726,0.000000
11057,1.000000
7197,0.000000
8381,0.000000
4708,0.993589
2454,0.000000
1921,0.000000
5166,0.938677
9963,0.000000
3649,0.000000
6373,0.000000
9756,1.000000
7724,0.000000
7703,0.000000
5927,0.000000
1564,1.000000
10666,0.999871
5427,0.999999
4383,0.999999
3578,0.000000
815,1.000000
1909,0.996505
5225,0.999995
8147,0.999981
4887,0.999999
7048,0.000000
10400,1.000000
2434,0.000000
8981,0.000000
6936,0.997809
1576,1.000000
11610,0.000000
12496,0.000000
6545,1.000000
4883,0.999440
10052,0.000000
8273,0.000000
273,1.000000
7904,0.000000
678,0.000000
927,0.000000
3746,0.000000
10867,0.000000
3871,0.000000
2895,1.000000
224,0.000000
10027,0.999855
10891,0.000000
7047,0.999734
3452,1.000000
3537,0.000001
2374,1.000000
5430,0.000000
482,1.000000
10479,0.999995
408,0.000000
2266,0.000000
11487,0.999999
3805,0.999885
11659,0.000000
10947,0.000000
5364,0.000000
11299,0.000000
839,0.999842
10423,0.000000
3040,0.000000
9082,0.999995
6520,0.000000
3615,0.999957
2899,0.996661
2479,0.000000
4294,1.000000
10774,0.000000
3681,0.000000
2353,0.000000
8998,0.998485
7831,0.000000
5472,0.000000
10672,0.000000
2156,0.000000
6994,1.000000
2288,0.000000
5183,0.000000
11532,0.000083
11737,0.000000
394,1.000000
10042,1.000000
9469,0.000000
10166,1.000000
7472,0.000000
5668,0.000656
6651,0.999999
2534,0.000000
10715,1.000000
301,0.000000
6974,0.999999
8619,0.000000
8870,1.000000
5650,0.999986
5293,1.000000
9641,0.994931
8158,1.000000
5826,0.999999
9627,0.000000
564,0.000000
5783,0.388606
12166,0.000000
4762,0.000000
3414,1.000000
2392,0.000000
5611,0.000000
7366,0.000000
3199,0.000000
